TxTime(sec),RxTime(sec),Latency(ms),FrameID,FrameType,PacketIndex,TotalPackets,FwdRef,BwdRef
3.010000,3.025262,15.262,0,I,0,50,-1,-1
3.010000,3.038515,28.515,0,I,1,50,-1,-1
3.010000,3.064652,54.652,0,I,2,50,-1,-1
3.010000,3.087845,77.845,0,I,3,50,-1,-1
3.010000,3.093484,83.484,0,I,4,50,-1,-1
3.010000,3.116181,106.181,0,I,5,50,-1,-1
3.010000,3.140824,130.824,0,I,6,50,-1,-1
3.010000,3.143624,133.624,0,I,7,50,-1,-1
3.010000,3.154892,144.892,0,I,8,50,-1,-1
3.010000,3.155411,145.411,0,I,9,50,-1,-1
3.010000,3.159366,149.366,0,I,10,50,-1,-1
3.010000,3.172103,162.103,0,I,11,50,-1,-1
3.010000,3.172355,162.355,0,I,12,50,-1,-1
3.010000,3.173676,163.676,0,I,13,50,-1,-1
3.010000,3.179166,169.166,0,I,14,50,-1,-1
3.010000,3.183058,173.058,0,I,15,50,-1,-1
3.043000,3.197713,154.713,1,B,0,5,0,3
3.010000,3.199070,189.070,0,I,16,50,-1,-1
3.010000,3.207054,197.054,0,I,17,50,-1,-1
3.010000,3.207573,197.573,0,I,18,50,-1,-1
3.010000,3.216272,206.272,0,I,19,50,-1,-1
3.010000,3.229536,219.536,0,I,20,50,-1,-1
3.010000,3.230856,220.856,0,I,21,50,-1,-1
3.010000,3.243848,233.848,0,I,22,50,-1,-1
3.010000,3.248346,238.346,0,I,23,50,-1,-1
3.010000,3.254003,244.003,0,I,24,50,-1,-1
3.010000,3.261439,251.439,0,I,25,50,-1,-1
3.010000,3.264239,254.239,0,I,26,50,-1,-1
3.043000,3.268846,225.846,1,B,1,5,0,3
3.010000,3.279529,269.529,0,I,27,50,-1,-1
3.010000,3.280315,270.315,0,I,28,50,-1,-1
3.010000,3.315777,305.777,0,I,29,50,-1,-1
3.010000,3.330648,320.648,0,I,30,50,-1,-1
3.010000,3.336013,326.013,0,I,31,50,-1,-1
3.010000,3.344608,334.608,0,I,32,50,-1,-1
3.010000,3.345661,335.661,0,I,33,50,-1,-1
3.010000,3.360763,350.763,0,I,34,50,-1,-1
3.010000,3.361015,351.015,0,I,35,50,-1,-1
3.010000,3.361267,351.267,0,I,36,50,-1,-1
3.010000,3.364730,354.730,0,I,37,50,-1,-1
3.010000,3.366919,356.919,0,I,38,50,-1,-1
3.010000,3.373609,363.609,0,I,39,50,-1,-1
3.010000,3.379266,369.266,0,I,40,50,-1,-1
3.010000,3.381676,371.676,0,I,41,50,-1,-1
3.010000,3.395864,385.864,0,I,42,50,-1,-1
3.010000,3.396116,386.116,0,I,43,50,-1,-1
3.010000,3.415823,405.823,0,I,44,50,-1,-1
3.010000,3.422621,412.621,0,I,45,50,-1,-1
3.010000,3.432923,422.923,0,I,46,50,-1,-1
3.010000,3.435633,425.633,0,I,47,50,-1,-1
3.010000,3.440514,430.514,0,I,48,50,-1,-1
3.010000,3.442402,432.402,0,I,49,50,-1,-1
3.043000,3.451417,408.417,1,B,2,5,0,3
3.076000,3.568252,492.252,2,B,0,5,0,3
3.109000,3.587415,478.415,3,P,0,30,0,-1
3.109000,3.588068,479.068,3,P,1,30,0,-1
3.241000,3.730026,489.026,7,B,0,5,6,9
3.274000,3.771109,497.109,8,B,0,5,6,9
3.340000,3.819472,479.472,10,B,0,5,9,12
3.340000,3.823484,483.484,10,B,1,5,9,12
3.439000,3.911812,472.812,13,B,0,5,12,15
3.439000,3.928543,489.543,13,B,1,5,12,15
3.439000,3.929640,490.640,13,B,2,5,12,15
3.472000,3.961793,489.793,14,B,0,5,12,15
3.505000,3.973922,468.922,15,P,0,30,12,-1
3.505000,3.989996,484.996,15,P,1,30,12,-1
3.505000,3.990347,485.347,15,P,2,30,12,-1
3.538000,4.012455,474.455,16,B,0,5,15,18
3.538000,4.027171,489.171,16,B,1,5,15,18
3.571000,4.050632,479.632,17,B,0,5,15,18
3.571000,4.053065,482.065,17,B,1,5,15,18
3.571000,4.053479,482.479,17,B,2,5,15,18
3.604000,4.093663,489.663,18,P,0,30,15,-1
3.637000,4.130086,493.086,19,B,0,5,18,21
3.670000,4.142769,472.769,20,B,0,5,18,21
3.769000,4.262095,493.095,23,B,0,5,21,24
3.835000,4.306309,471.309,25,B,0,5,24,27
3.901000,4.386182,485.182,27,P,0,30,24,-1
3.934000,4.403003,469.003,28,B,0,5,27,30
3.967000,4.460113,493.113,29,B,0,5,27,30
4.033000,4.510455,477.455,31,B,0,5,30,33
4.033000,4.511161,478.161,31,B,1,5,30,33
4.066000,4.559456,493.456,32,B,0,5,30,33
4.066000,4.561925,495.925,32,B,1,5,30,33
4.132000,4.631309,499.309,34,B,0,5,33,36
4.165000,4.653918,488.918,35,B,0,5,33,36
4.198000,4.690716,492.716,36,P,0,30,33,-1
4.264000,4.752739,488.739,38,B,0,5,36,39
4.396000,4.884197,488.197,42,P,0,30,39,-1
4.429000,4.920594,491.594,43,B,0,5,42,45
4.495000,4.977157,482.157,45,P,0,30,42,-1
4.990000,4.991489,1.489,60,I,0,50,-1,-1
4.990000,4.995049,5.049,60,I,1,50,-1,-1
4.990000,5.007934,17.934,60,I,2,50,-1,-1
4.990000,5.014858,24.858,60,I,3,50,-1,-1
4.990000,5.018817,28.817,60,I,4,50,-1,-1
4.990000,5.038991,48.991,60,I,5,50,-1,-1
4.990000,5.052744,62.744,60,I,6,50,-1,-1
4.990000,5.061362,71.362,60,I,7,50,-1,-1
4.990000,5.076619,86.619,60,I,8,50,-1,-1
4.990000,5.080659,90.659,60,I,9,50,-1,-1
4.990000,5.088787,98.787,60,I,10,50,-1,-1
4.990000,5.096497,106.497,60,I,11,50,-1,-1
4.990000,5.097283,107.283,60,I,12,50,-1,-1
4.990000,5.098662,108.662,60,I,13,50,-1,-1
4.990000,5.112799,122.799,60,I,14,50,-1,-1
4.990000,5.113852,123.852,60,I,15,50,-1,-1
4.990000,5.116460,126.460,60,I,16,50,-1,-1
4.990000,5.125491,135.491,60,I,17,50,-1,-1
4.990000,5.141212,151.212,60,I,18,50,-1,-1
4.990000,5.141998,151.998,60,I,19,50,-1,-1
4.990000,5.147237,157.237,60,I,20,50,-1,-1
4.990000,5.147489,157.489,60,I,21,50,-1,-1
4.990000,5.152349,162.349,60,I,22,50,-1,-1
4.990000,5.160595,170.595,60,I,23,50,-1,-1
4.990000,5.170313,180.313,60,I,24,50,-1,-1
4.990000,5.172201,182.201,60,I,25,50,-1,-1
4.990000,5.191946,201.946,60,I,26,50,-1,-1
4.990000,5.205479,215.479,60,I,27,50,-1,-1
4.990000,5.225188,235.188,60,I,28,50,-1,-1
4.990000,5.231020,241.020,60,I,29,50,-1,-1
4.990000,5.232908,242.908,60,I,30,50,-1,-1
4.990000,5.248242,258.242,60,I,31,50,-1,-1
4.990000,5.250714,260.714,60,I,32,50,-1,-1
4.990000,5.274134,284.134,60,I,33,50,-1,-1
4.990000,5.280259,290.259,60,I,34,50,-1,-1
4.990000,5.285022,295.022,60,I,35,50,-1,-1
4.990000,5.291016,301.016,60,I,36,50,-1,-1
4.990000,5.291802,301.802,60,I,37,50,-1,-1
4.990000,5.298877,308.877,60,I,38,50,-1,-1
4.990000,5.303128,313.128,60,I,39,50,-1,-1
4.990000,5.306521,316.521,60,I,40,50,-1,-1
4.990000,5.308108,318.108,60,I,41,50,-1,-1
4.990000,5.346227,356.227,60,I,42,50,-1,-1
4.990000,5.347547,357.547,60,I,43,50,-1,-1
4.990000,5.353037,363.037,60,I,44,50,-1,-1
4.990000,5.359916,369.916,60,I,45,50,-1,-1
4.990000,5.367069,377.069,60,I,46,50,-1,-1
4.990000,5.375917,385.917,60,I,47,50,-1,-1
4.990000,5.378336,388.336,60,I,48,50,-1,-1
4.990000,5.385507,395.507,60,I,49,50,-1,-1
5.023000,5.497063,474.063,61,B,0,5,60,63
5.056000,5.544238,488.238,62,B,0,5,60,63
5.221000,5.715772,494.772,67,B,0,5,66,69
5.254000,5.723832,469.832,68,B,0,5,66,69
5.287000,5.786134,499.134,69,P,0,30,66,-1
5.320000,5.805212,485.212,70,B,0,5,69,72
5.386000,5.857664,471.664,72,P,0,30,69,-1
5.386000,5.860097,474.097,72,P,1,30,69,-1
5.485000,5.974353,489.353,75,P,0,30,72,-1
5.683000,6.160381,477.381,81,P,0,30,78,-1
5.716000,6.202774,486.774,82,B,0,5,81,84
5.716000,6.203845,487.845,82,B,1,5,81,84
5.716000,6.217027,501.027,82,B,2,5,81,84
5.782000,6.254875,472.875,84,P,0,30,81,-1
5.848000,6.349184,501.184,86,B,0,5,84,87
5.980000,6.455731,475.731,90,P,0,30,87,-1
6.046000,6.518728,472.728,92,B,0,5,90,93
6.079000,6.563068,484.068,93,P,0,30,90,-1
6.112000,6.600743,488.743,94,B,0,5,93,96
6.112000,6.601494,489.494,94,B,1,5,93,96
6.112000,6.604009,492.009,94,B,2,5,93,96
6.376000,6.846150,470.150,102,P,0,30,99,-1
6.376000,6.859039,483.039,102,P,1,30,99,-1
6.376000,6.863096,487.096,102,P,2,30,99,-1
6.376000,6.863829,487.829,102,P,3,30,99,-1
6.970000,6.982882,12.882,120,I,0,50,-1,-1
6.970000,6.986648,16.648,120,I,1,50,-1,-1
6.970000,6.989102,19.102,120,I,2,50,-1,-1
6.970000,7.010114,40.114,120,I,3,50,-1,-1
6.970000,7.014155,44.155,120,I,4,50,-1,-1
6.970000,7.032907,62.907,120,I,5,50,-1,-1
6.970000,7.043106,73.106,120,I,6,50,-1,-1
6.970000,7.054672,84.672,120,I,7,50,-1,-1
6.970000,7.060693,90.693,120,I,8,50,-1,-1
6.970000,7.063165,93.165,120,I,9,50,-1,-1
6.970000,7.070885,100.885,120,I,10,50,-1,-1
6.970000,7.077765,107.765,120,I,11,50,-1,-1
6.970000,7.086679,116.679,120,I,12,50,-1,-1
6.970000,7.092637,122.637,120,I,13,50,-1,-1
6.970000,7.093957,123.957,120,I,14,50,-1,-1
6.970000,7.095377,125.377,120,I,15,50,-1,-1
6.970000,7.100976,130.976,120,I,16,50,-1,-1
6.970000,7.101495,131.495,120,I,17,50,-1,-1
6.970000,7.108452,138.452,120,I,18,50,-1,-1
6.970000,7.111571,141.571,120,I,19,50,-1,-1
6.970000,7.121918,151.918,120,I,20,50,-1,-1
6.970000,7.134391,164.391,120,I,21,50,-1,-1
6.970000,7.139136,169.136,120,I,22,50,-1,-1
6.970000,7.163899,193.899,120,I,23,50,-1,-1
6.970000,7.169858,199.858,120,I,24,50,-1,-1
6.970000,7.187923,217.923,120,I,25,50,-1,-1
6.970000,7.200696,230.696,120,I,26,50,-1,-1
6.970000,7.204390,234.390,120,I,27,50,-1,-1
6.970000,7.219670,249.670,120,I,28,50,-1,-1
6.970000,7.222416,252.416,120,I,29,50,-1,-1
6.970000,7.234102,264.102,120,I,30,50,-1,-1
6.970000,7.246749,276.749,120,I,31,50,-1,-1
6.970000,7.258602,288.602,120,I,32,50,-1,-1
6.970000,7.260189,290.189,120,I,33,50,-1,-1
6.970000,7.270667,300.667,120,I,34,50,-1,-1
6.970000,7.273476,303.476,120,I,35,50,-1,-1
6.970000,7.290332,320.332,120,I,36,50,-1,-1
6.970000,7.294565,324.565,120,I,37,50,-1,-1
6.970000,7.296454,326.454,120,I,38,50,-1,-1
6.970000,7.297774,327.774,120,I,39,50,-1,-1
6.970000,7.305326,335.326,120,I,40,50,-1,-1
6.970000,7.310673,340.673,120,I,41,50,-1,-1
6.970000,7.317260,347.260,120,I,42,50,-1,-1
6.970000,7.323600,353.600,120,I,43,50,-1,-1
6.970000,7.327249,357.249,120,I,44,50,-1,-1
6.970000,7.328035,358.035,120,I,45,50,-1,-1
6.970000,7.334069,364.069,120,I,46,50,-1,-1
6.970000,7.341550,371.550,120,I,47,50,-1,-1
6.970000,7.343977,373.977,120,I,48,50,-1,-1
6.970000,7.354487,384.487,120,I,49,50,-1,-1
7.003000,7.462804,459.804,121,B,0,5,120,123
7.003000,7.465256,462.256,121,B,1,5,120,123
7.003000,7.465598,462.598,121,B,2,5,120,123
7.036000,7.509264,473.264,122,B,0,5,120,123
7.069000,7.543541,474.541,123,P,0,30,120,-1
7.069000,7.544765,475.765,123,P,1,30,120,-1
7.168000,7.664275,496.275,126,P,0,30,123,-1
7.366000,7.841860,475.860,132,P,0,30,129,-1
7.366000,7.843506,477.506,132,P,1,30,129,-1
7.366000,7.844829,478.829,132,P,2,30,129,-1
7.366000,7.845108,479.108,132,P,3,30,129,-1
7.366000,7.857262,491.262,132,P,4,30,129,-1
7.432000,7.912427,480.427,134,B,0,5,132,135
7.432000,7.924448,492.448,134,B,1,5,132,135
7.465000,7.963656,498.656,135,P,0,30,132,-1
7.531000,8.020272,489.272,137,B,0,5,135,138
7.597000,8.088747,491.747,139,B,0,5,138,141
7.630000,8.120204,490.204,140,B,0,5,138,141
7.762000,8.237516,475.516,144,P,0,30,141,-1
7.993000,8.474414,481.414,151,B,0,5,150,153
8.059000,8.541091,482.091,153,P,0,30,150,-1
8.125000,8.623722,498.722,155,B,0,5,153,156
8.191000,8.666416,475.416,157,B,0,5,156,159
8.224000,8.722199,498.199,158,B,0,5,156,159
8.290000,8.758890,468.890,160,B,0,5,159,162
8.323000,8.810016,487.016,161,B,0,5,159,162
8.389000,8.862263,473.263,163,B,0,5,162,165
8.950000,8.951516,1.516,180,I,0,50,-1,-1
8.950000,8.956962,6.962,180,I,1,50,-1,-1
8.950000,8.961186,11.186,180,I,2,50,-1,-1
8.950000,8.964261,14.261,180,I,3,50,-1,-1
8.950000,8.965848,15.848,180,I,4,50,-1,-1
8.950000,8.967596,17.596,180,I,5,50,-1,-1
8.950000,8.972359,22.359,180,I,6,50,-1,-1
8.950000,8.976583,26.583,180,I,7,50,-1,-1
8.950000,8.978727,28.727,180,I,8,50,-1,-1
8.950000,8.979513,29.513,180,I,9,50,-1,-1
8.950000,8.982088,32.088,180,I,10,50,-1,-1
8.950000,8.985827,35.827,180,I,11,50,-1,-1
8.950000,8.995406,45.406,180,I,12,50,-1,-1
8.950000,9.011692,61.692,180,I,13,50,-1,-1
8.950000,9.040742,90.742,180,I,14,50,-1,-1
8.950000,9.040994,90.994,180,I,15,50,-1,-1
8.950000,9.041780,91.780,180,I,16,50,-1,-1
8.950000,9.042033,92.033,180,I,17,50,-1,-1
8.950000,9.062718,112.718,180,I,18,50,-1,-1
8.950000,9.111340,161.340,180,I,19,50,-1,-1
8.950000,9.142483,192.483,180,I,20,50,-1,-1
8.950000,9.156352,206.352,180,I,21,50,-1,-1
8.950000,9.157138,207.138,180,I,22,50,-1,-1
8.950000,9.157391,207.391,180,I,23,50,-1,-1
8.950000,9.161097,211.097,180,I,24,50,-1,-1
8.950000,9.163232,213.232,180,I,25,50,-1,-1
8.950000,9.164552,214.552,180,I,26,50,-1,-1
8.950000,9.179319,229.319,180,I,27,50,-1,-1
8.950000,9.182721,232.721,180,I,28,50,-1,-1
8.950000,9.192776,242.776,180,I,29,50,-1,-1
8.950000,9.193295,243.295,180,I,30,50,-1,-1
8.950000,9.202224,252.224,180,I,31,50,-1,-1
8.950000,9.208910,258.910,180,I,32,50,-1,-1
8.950000,9.209696,259.696,180,I,33,50,-1,-1
8.950000,9.226432,276.432,180,I,34,50,-1,-1
8.950000,9.240764,290.764,180,I,35,50,-1,-1
8.950000,9.241550,291.550,180,I,36,50,-1,-1
8.950000,9.243495,293.495,180,I,37,50,-1,-1
8.950000,9.244816,294.816,180,I,38,50,-1,-1
8.950000,9.246865,296.865,180,I,39,50,-1,-1
8.950000,9.250869,300.869,180,I,40,50,-1,-1
8.950000,9.256800,306.800,180,I,41,50,-1,-1
8.950000,9.278010,328.010,180,I,42,50,-1,-1
8.950000,9.278262,328.262,180,I,43,50,-1,-1
8.950000,9.278514,328.514,180,I,44,50,-1,-1
8.950000,9.279568,329.568,180,I,45,50,-1,-1
8.950000,9.300768,350.768,180,I,46,50,-1,-1
8.950000,9.305311,355.311,180,I,47,50,-1,-1
8.950000,9.312437,362.437,180,I,48,50,-1,-1
8.950000,9.313223,363.223,180,I,49,50,-1,-1
8.818000,9.317905,499.905,176,B,0,5,174,177
8.983000,9.443280,460.280,181,B,0,5,180,183
9.049000,9.539843,490.843,183,P,0,30,180,-1
9.115000,9.610381,495.381,185,B,0,5,183,186
9.214000,9.697817,483.817,188,B,0,5,186,189
9.313000,9.796441,483.441,191,B,0,5,189,192
9.379000,9.850515,471.515,193,B,0,5,192,195
